WVOT,WP,WPCT,BV,BP,BPCT,HV,HP,HPCT,OV,OP,OPCT
5489,12787,0.43,1055,3455,0.31,60,1941,0.03,102,392,0.26
1912,4756,0.4,477,1336,0.36,86,2085,0.04,98,200,0.49
3319,8255,0.4,337,1838,0.18,22,1034,0.02,41,251,0.16
687,1490,0.46,455,1413,0.32,3,186,0.02,10,79,0.13
8985,23331,0.39,6109,18890,0.32,92,1021,0.09,241,1409,0.17
6343,16441,0.39,96,477,0.2,73,1265,0.06,127,522,0.24
21252,57264,0.37,3047,9521,0.32,883,9181,0.1,1349,4786,0.28
30368,81781,0.37,3312,11538,0.29,677,9315,0.07,1041,3320,0.31
3671,9473,0.39,1748,6047,0.29,30,1051,0.03,69,392,0.18
5493,15733,0.35,539,2031,0.27,42,965,0.04,77,501,0.15
27506,57841,0.48,30070,83981,0.36,401,5066,0.08,1326,5759,0.23
3932,8789,0.45,766,3388,0.23,22,376,0.06,58,304,0.19
5336,17251,0.31,160,639,0.25,14,432,0.03,42,464,0.09
3587,8876,0.4,1806,5390,0.34,52,911,0.06,96,427,0.22
11256,27706,0.41,1951,5409,0.36,306,2822,0.11,615,1987,0.31
16782,48796,0.34,4975,22487,0.22,205,2967,0.07,490,2658,0.18
4451,10707,0.42,3882,10624,0.37,43,696,0.06,111,515,0.22
6450,16056,0.4,1888,6899,0.27,68,808,0.08,134,536,0.25
830,2116,0.39,1034,3850,0.27,8,325,0.02,16,141,0.11
11295,37058,0.3,2909,9844,0.3,227,3687,0.06,525,2609,0.2
2635,6599,0.4,679,2610,0.26,38,1381,0.03,54,219,0.25
31666,83764,0.38,6370,22815,0.28,525,8531,0.06,985,3842,0.26
20786,60459,0.34,411,1893,0.22,149,2121,0.07,331,2333,0.14
2429,7822,0.31,617,3757,0.16,6,487,0.01,39,622,0.06
56733,140679,0.4,37790,116698,0.32,1542,19602,0.08,3680,15399,0.24
637,5982,0.11,346,1956,0.18,17,1612,0.01,35,826,0.04
6482,20474,0.32,521,2436,0.21,35,1284,0.03,78,614,0.13
87975,198439,0.44,5838,16946,0.34,2786,26397,0.11,4882,10271,0.48
27377,70180,0.39,9849,35654,0.28,1198,14051,0.09,2579,8140,0.32
558,1051,0.53,597,1787,0.33,2,45,0.04,7,61,0.11
10676,28104,0.38,69502,202053,0.34,2511,38652,0.06,5506,21116,0.26
1701,4367,0.39,468,1783,0.26,5,409,0.01,17,186,0.09
191299,391466,0.49,82512,209869,0.39,12277,100658,0.12,26370,60110,0.44
9219,24843,0.37,2925,11974,0.24,203,5240,0.04,286,1009,0.28
10057,25281,0.4,2202,10453,0.21,215,9214,0.02,313,883,0.35
44049,105293,0.42,10237,26964,0.38,1273,10637,0.12,3511,11596,0.3
4251,11221,0.38,1367,4724,0.29,44,988,0.04,79,420,0.19
42898,102712,0.42,8450,25939,0.33,995,10385,0.1,1837,6054,0.3
3733,9019,0.41,1020,2476,0.41,15,408,0.04,41,374,0.11
4587,11305,0.41,2309,9997,0.23,34,761,0.04,63,567,0.11
4959,15237,0.33,16,199,0.08,16,393,0.04,46,452,0.1
5725,13357,0.43,3065,11162,0.27,67,1640,0.04,118,491,0.24
117683,220118,0.53,155410,408806,0.38,6235,65625,0.1,19344,64382,0.3
5308,13449,0.39,1542,6046,0.26,24,728,0.03,50,413,0.12
2032,5751,0.35,1661,6596,0.25,21,1009,0.02,37,259,0.14
9885,22059,0.45,19978,62049,0.32,128,2601,0.05,342,2049,0.17
23680,57585,0.41,25197,67539,0.37,1327,14373,0.09,2472,6094,0.41
2356,4595,0.51,1718,5217,0.33,7,248,0.03,17,212,0.08
1010,2414,0.42,49,177,0.28,32,1186,0.03,45,144,0.31
18340,47996,0.38,2737,8337,0.33,274,2800,0.1,508,2008,0.25
5438,12076,0.45,1675,5397,0.31,45,1129,0.04,84,456,0.18
5445,13352,0.41,1977,7806,0.25,25,1016,0.02,58,430,0.13
2468,6047,0.41,817,3195,0.26,33,1312,0.03,49,234,0.21
10609,24201,0.44,10,188,0.05,53,680,0.08,128,523,0.24
36069,69853,0.52,13456,26519,0.51,1130,8429,0.13,2690,8413,0.32
25549,69565,0.37,3480,14117,0.25,496,11157,0.04,756,3278,0.23
63654,165837,0.38,2765,8557,0.32,2282,22678,0.1,8024,36859,0.22
7389,19167,0.39,425,2113,0.2,41,1097,0.04,90,631,0.14
190002,416611,0.46,158969,460283,0.35,8649,76990,0.11,28004,98452,0.28
11686,26238,0.45,31,200,0.16,133,3963,0.03,210,615,0.34
23984,54299,0.44,5763,22521,0.26,296,6082,0.05,696,3012,0.23
16121,44140,0.37,625,2198,0.28,599,9484,0.06,747,1577,0.47
5916,14271,0.41,2077,7004,0.3,45,2955,0.02,97,538,0.18
6190,10086,0.61,2199,5851,0.38,53,1072,0.05,115,462,0.25
151496,340713,0.44,91157,255341,0.36,19898,199176,0.1,45473,137130,0.33
14192,34538,0.41,233,1663,0.14,250,6787,0.04,393,1836,0.21
52855,121941,0.43,4194,14706,0.29,3676,58271,0.06,4688,6775,0.69
927,2099,0.44,2497,5996,0.42,5,205,0.02,18,194,0.09
9762,26877,0.36,359,1396,0.26,37,510,0.07,108,775,0.14
12534,26160,0.48,2338,5628,0.42,174,1292,0.13,356,1038,0.34
7978,19247,0.41,1205,4890,0.25,41,1038,0.04,102,663,0.15
3522,9994,0.35,381,1163,0.33,15,324,0.05,46,318,0.14
41962,97490,0.43,43531,102707,0.42,1978,16107,0.12,5363,13318,0.4
36308,86371,0.42,17751,48520,0.37,905,10504,0.09,2276,9192,0.25
2747,6283,0.44,728,2618,0.28,14,369,0.04,27,166,0.16
23136,56329,0.41,1466,4792,0.31,527,5250,0.1,843,2650,0.32
4703,10438,0.45,1062,2723,0.39,43,587,0.07,74,293,0.25
4046,10772,0.38,639,2209,0.29,49,1817,0.03,65,285,0.23
3187,6573,0.48,3235,8147,0.4,13,622,0.02,46,259,0.18
1858,4406,0.42,917,3669,0.25,1,494,0,12,139,0.09
2562,6106,0.42,867,3272,0.26,0,234,0,15,143,0.1
9015,20201,0.45,3161,7091,0.45,55,530,0.1,142,643,0.22
5254,12261,0.43,1674,5530,0.3,30,486,0.06,86,485,0.18
1932,7136,0.27,570,2212,0.26,28,630,0.04,52,462,0.11
12714,27406,0.46,5512,17519,0.31,71,1274,0.06,255,1130,0.23
10252,21211,0.48,2478,6236,0.4,89,869,0.1,270,1270,0.21
5640,23588,0.24,7757,25732,0.3,543,7907,0.07,927,4160,0.22
2752,5209,0.53,1018,2326,0.44,8,169,0.05,24,212,0.11
2468,11147,0.22,968,5089,0.19,108,2133,0.05,201,1107,0.18
22524,61994,0.36,11102,42168,0.26,481,6902,0.07,1315,4781,0.28
10706,30083,0.36,63,497,0.13,116,1638,0.07,263,1034,0.25
1600,4334,0.37,2506,7948,0.32,7,615,0.01,38,332,0.11
9989,24151,0.41,880,2605,0.34,101,1676,0.06,203,1127,0.18
1916,4944,0.39,882,2571,0.34,28,640,0.04,60,269,0.22
5392,11431,0.47,3015,8904,0.34,33,668,0.05,65,538,0.12
3539,8766,0.4,1639,4662,0.35,20,308,0.06,48,313,0.15
5238,11861,0.44,2983,8229,0.36,29,451,0.06,87,488,0.18
1844,3900,0.47,431,1622,0.27,2,187,0.01,8,127,0.06
4242,10215,0.42,2923,10547,0.28,39,1003,0.04,69,446,0.15
9721,19675,0.49,2463,6226,0.4,46,647,0.07,159,680,0.23
2709,5965,0.45,702,2294,0.31,29,598,0.05,40,191,0.21
7479,13346,0.56,1741,4170,0.42,55,589,0.09,104,449,0.23
28336,77088,0.37,29458,89454,0.33,1144,14617,0.08,2617,11175,0.23
20697,50116,0.41,19309,49428,0.39,522,6347,0.08,1041,3539,0.29
17842,32672,0.55,715,1936,0.37,265,1971,0.13,742,2217,0.33
5268,11275,0.47,800,2476,0.32,43,761,0.06,94,462,0.2
43293,114137,0.38,11805,32062,0.37,1298,10563,0.12,2191,5470,0.4
5600,12271,0.46,4167,11850,0.35,168,2202,0.08,267,810,0.33
12600,29921,0.42,89,332,0.27,99,1020,0.1,176,826,0.21
6058,16258,0.37,421,1620,0.26,24,1032,0.02,63,464,0.14
7311,15911,0.46,699,1705,0.41,32,314,0.1,87,403,0.22
10813,30426,0.36,1310,5190,0.25,177,5783,0.03,263,1034,0.25
2640,6872,0.38,876,3556,0.25,20,394,0.05,44,295,0.15
7141,14167,0.5,1752,5701,0.31,66,1473,0.04,113,433,0.26
511,1139,0.45,389,1127,0.35,4,39,0.1,11,46,0.24
7098,14573,0.49,26,221,0.12,74,1362,0.05,122,511,0.24
1283,2482,0.52,1456,4269,0.34,3,178,0.02,15,90,0.17
24670,69768,0.35,38364,112531,0.34,722,10253,0.07,2045,9219,0.22
12365,27922,0.44,19856,50076,0.4,589,9627,0.06,1400,3538,0.4
1565,3830,0.41,316,1045,0.3,13,266,0.05,23,90,0.26
3404,7633,0.45,1843,5694,0.32,11,316,0.03,42,285,0.15
2248,5046,0.45,889,2698,0.33,18,263,0.07,27,196,0.14
15911,38386,0.41,7000,22392,0.31,215,3082,0.07,495,2064,0.24
