WV,WP,WPCT,BV,BP,BPCT,HV,HP,HPCT,OV,OP,OPCT
8328,12782,0.65,1223,3480,0.35,230,2021,0.11,146,406,0.36
3232,4789,0.67,671,1316,0.51,364,2110,0.17,47,205,0.23
5324,8269,0.64,581,1888,0.31,104,1086,0.1,61,265,0.23
1182,1446,0.82,522,1385,0.38,20,198,0.1,25,77,0.32
13761,22960,0.6,6431,18762,0.34,229,1017,0.23,474,1409,0.34
11210,16492,0.68,271,491,0.55,292,1320,0.22,244,548,0.45
39093,58666,0.67,4966,10161,0.49,3142,10198,0.31,2419,5111,0.47
56665,82455,0.69,5050,11950,0.42,2409,9834,0.24,1531,3511,0.44
5849,9364,0.62,2063,6059,0.34,171,1070,0.16,136,402,0.34
9370,15754,0.59,713,2045,0.35,180,983,0.18,154,537,0.29
42329,56442,0.75,32171,84674,0.38,1249,5149,0.24,3061,5936,0.52
5612,8802,0.64,908,3401,0.27,50,397,0.13,114,313,0.36
10292,17256,0.6,176,684,0.26,60,459,0.13,115,493,0.23
6306,8857,0.71,2264,5375,0.42,188,929,0.2,159,471,0.34
21558,28747,0.75,2694,5655,0.48,1052,3103,0.34,1149,2160,0.53
28094,49540,0.57,6414,23015,0.28,635,3073,0.21,980,2792,0.35
7681,10747,0.71,4212,10592,0.4,150,711,0.21,227,538,0.42
11636,16243,0.72,2154,7088,0.3,207,839,0.25,257,577,0.45
1147,2107,0.54,1078,3808,0.28,23,325,0.07,35,147,0.24
21252,37114,0.57,3520,9867,0.36,834,3863,0.22,1047,2654,0.39
4136,6529,0.63,812,2611,0.31,164,1466,0.11,59,217,0.27
58710,84650,0.69,8649,23522,0.37,1786,9010,0.2,1843,4029,0.46
38783,60578,0.64,677,2059,0.33,485,2256,0.21,797,2416,0.33
4329,7694,0.56,726,3735,0.19,33,493,0.07,103,711,0.14
100371,140696,0.71,43693,118709,0.37,5490,20557,0.27,7720,16159,0.48
2001,6036,0.33,654,1955,0.33,272,1630,0.17,169,832,0.2
11538,20444,0.56,587,2458,0.24,149,1333,0.11,195,646,0.3
147021,203522,0.72,9545,18488,0.52,7782,27955,0.28,5840,11063,0.53
43188,70564,0.61,13014,36565,0.36,3085,14483,0.21,2972,8347,0.36
842,1030,0.82,656,1776,0.37,4,52,0.08,6,66,0.09
20043,26738,0.75,81214,210856,0.39,8445,40102,0.21,11258,21781,0.52
2850,4342,0.66,693,1772,0.39,34,456,0.07,51,196,0.26
291884,389568,0.75,94561,217800,0.43,30491,104149,0.29,33838,63292,0.53
15780,24635,0.64,4307,12049,0.36,908,5447,0.17,352,1041,0.34
16383,24970,0.66,3760,10483,0.36,1297,9496,0.14,408,877,0.47
71544,107381,0.67,11557,28874,0.4,3669,11683,0.31,6134,12366,0.5
7254,11320,0.64,1706,4756,0.36,187,1000,0.19,141,437,0.32
69682,104727,0.67,9991,26925,0.37,2721,10964,0.25,2649,6430,0.41
6236,8961,0.7,913,2439,0.37,80,428,0.19,125,406,0.31
6699,11076,0.6,3098,9997,0.31,97,772,0.13,178,567,0.31
10268,15197,0.68,63,207,0.3,87,412,0.21,131,462,0.28
9160,13156,0.7,3835,11176,0.34,282,1684,0.17,198,496,0.4
169771,221809,0.77,163031,415125,0.39,15073,66736,0.23,34481,66624,0.52
7862,13283,0.59,1723,6007,0.29,71,729,0.1,113,427,0.26
2822,5605,0.5,1644,6461,0.25,99,1028,0.1,60,268,0.22
15698,20962,0.75,23338,61543,0.38,502,2690,0.19,945,2052,0.46
38262,55947,0.68,27908,71490,0.39,3957,15174,0.26,3702,6410,0.58
3456,4494,0.77,2081,5242,0.4,23,263,0.09,56,227,0.25
1762,2375,0.74,149,173,0.86,172,1200,0.14,38,148,0.26
32930,49449,0.67,3484,8695,0.4,956,3174,0.3,918,2155,0.43
8261,11993,0.69,1887,5324,0.35,144,1158,0.12,184,474,0.39
8410,13410,0.63,2415,7882,0.31,122,1013,0.12,139,442,0.31
3813,6020,0.63,1019,3195,0.32,143,1330,0.11,99,245,0.4
18856,24596,0.77,95,208,0.46,162,773,0.21,259,544,0.48
54249,69083,0.79,12811,27806,0.46,2837,8722,0.33,4225,8939,0.47
44987,69744,0.65,5312,14342,0.37,1771,11645,0.15,1133,3404,0.33
105394,169833,0.62,5808,9720,0.6,6111,24129,0.25,15930,42160,0.38
12779,19403,0.66,645,2173,0.3,155,1157,0.13,230,668,0.34
305859,421090,0.73,196335,470598,0.42,22435,78430,0.29,50296,104036,0.48
1814,2696,0.67,74,290,0.26,2,58,0.03,14,83,0.17
41132,54721,0.75,8121,22955,0.35,1311,6358,0.21,1514,3134,0.48
29611,44205,0.67,1606,2255,0.71,2029,9930,0.2,720,1627,0.44
9802,14089,0.7,2617,6982,0.37,301,3057,0.1,213,542,0.39
9224,10400,0.89,2263,5825,0.39,191,1099,0.17,188,509,0.37
232613,334467,0.7,115034,269465,0.43,54258,207307,0.26,76624,145313,0.53
23923,34617,0.69,918,1725,0.53,1166,7106,0.16,648,1888,0.34
89066,123384,0.72,11051,15053,0.73,12987,60851,0.21,3541,7108,0.5
1522,2093,0.73,2182,5841,0.37,13,208,0.06,52,212,0.25
